PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
MN,2700001,Northwest Minnesota nonmetropolitan area,00-0000,All Occupations,total,"191,350",2.0,1000.000,1.00,21.21,"44,110",1.2,10.48,12.82,17.65,25.00,35.81,"21,800","26,660","36,720","51,990","74,490",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-0000,Management Occupations,major,"8,400",5.0,43.882,0.83,43.95,"91,420",1.6,20.36,29.06,39.81,53.56,70.55,"42,350","60,440","82,800","111,410","146,740",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-1011,Chief Executives,detailed,390,11.0,2.062,1.53,76.82,"159,790",4.2,37.19,52.34,69.12,88.51,#,"77,350","108,880","143,770","184,100",#,,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-1021,General and Operations Managers,detailed,"2,530",5.8,13.199,0.83,40.44,"84,110",3.1,15.56,24.86,34.94,49.18,71.68,"32,360","51,720","72,680","102,300","149,100",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-1031,Legislators,detailed,150,32.7,0.772,2.22,*,"29,070",8.1,*,*,*,*,*,"20,090","20,530","20,550","28,880","49,570",TRUE,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-2021,Marketing Managers,detailed,190,15.5,1.007,0.61,60.28,"125,390",6.1,28.95,38.08,55.86,73.20,96.74,"60,220","79,200","116,180","152,260","201,230",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-2022,Sales Managers,detailed,450,15.1,2.327,0.89,46.96,"97,670",4.4,24.98,32.80,39.99,55.91,73.58,"51,960","68,230","83,180","116,290","153,050",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-2031,Public Relations and Fundraising Managers,detailed,40,20.2,0.228,0.46,44.04,"91,610",3.9,27.58,32.84,43.62,51.73,60.54,"57,370","68,320","90,730","107,600","125,930",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-3011,Administrative Services Managers,detailed,360,10.1,1.856,0.95,41.33,"85,960",3.2,24.92,31.05,39.39,48.64,58.59,"51,830","64,580","81,930","101,160","121,860",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-3021,Computer and Information Systems Managers,detailed,240,34.1,1.260,0.47,50.59,"105,230",2.0,31.91,38.45,52.00,61.96,73.14,"66,370","79,980","108,160","128,880","152,140",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-3031,Financial Managers,detailed,690,8.5,3.609,0.86,48.96,"101,840",4.8,25.83,32.37,43.71,57.83,75.35,"53,730","67,320","90,910","120,290","156,730",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-3051,Industrial Production Managers,detailed,260,8.4,1.344,1.07,43.10,"89,640",2.3,30.17,34.69,40.74,48.43,61.23,"62,760","72,160","84,740","100,730","127,360",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-3061,Purchasing Managers,detailed,130,28.7,0.675,1.41,45.64,"94,920",2.3,34.97,41.19,45.49,49.88,58.67,"72,740","85,670","94,630","103,760","122,020",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-3071,"Transportation, Storage, and Distribution Managers",detailed,100,18.2,0.547,0.63,41.68,"86,700",4.8,25.71,28.75,39.71,53.25,62.90,"53,480","59,800","82,600","110,760","130,830",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-3121,Human Resources Managers,detailed,180,11.3,0.958,0.97,47.50,"98,800",5.1,25.05,32.50,44.02,57.62,75.78,"52,090","67,600","91,560","119,840","157,620",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-3131,Training and Development Managers,detailed,30,21.7,0.157,0.64,46.05,"95,780",4.7,30.82,32.71,42.73,51.84,73.62,"64,110","68,030","88,880","107,840","153,130",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-9021,Construction Managers,detailed,240,16.7,1.259,0.65,40.13,"83,470",3.4,25.65,29.46,39.83,49.54,58.68,"53,350","61,270","82,850","103,050","122,050",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,40,35.6,0.216,0.62,33.84,"70,390",8.5,20.74,23.36,31.76,38.99,57.41,"43,130","48,590","66,060","81,100","119,410",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-9032,"Education Administrators, Elementary and Secondary School",detailed,310,8.8,1.602,0.88,*,"92,720",4.3,*,*,*,*,*,"54,940","72,020","95,850","114,930","127,380",TRUE,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-9033,"Education Administrators, Postsecondary",detailed,100,10.9,0.508,0.51,46.21,"96,120",2.9,28.14,34.74,46.11,57.77,64.04,"58,530","72,270","95,920","120,160","133,200",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-9039,"Education Administrators, All Other",detailed,70,21.1,0.380,1.34,36.75,"76,430",6.9,23.75,27.50,32.71,44.45,50.52,"49,400","57,190","68,030","92,460","105,080",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-9041,Architectural and Engineering Managers,detailed,150,10.6,0.760,0.58,55.59,"115,630",4.8,37.55,44.82,54.70,61.88,74.15,"78,110","93,230","113,780","128,710","154,230",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-9051,Food Service Managers,detailed,180,25.8,0.915,0.60,25.51,"53,060",5.8,13.59,17.29,24.50,31.62,38.97,"28,260","35,970","50,960","65,760","81,050",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-9071,Gaming Managers,detailed,30,24.6,0.161,5.42,26.25,"54,600",7.3,16.93,19.62,23.20,28.88,41.89,"35,210","40,810","48,250","60,070","87,140",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-9081,Lodging Managers,detailed,90,14.5,0.470,1.84,25.15,"52,300",19.0,13.91,15.63,19.09,37.19,44.49,"28,930","32,510","39,710","77,350","92,540",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-9111,Medical and Health Services Managers,detailed,600,8.6,3.160,1.23,44.46,"92,470",2.2,27.36,35.32,43.92,51.50,61.53,"56,900","73,470","91,360","107,120","127,970",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-9121,Natural Sciences Managers,detailed,60,15.1,0.292,0.70,43.67,"90,840",3.5,20.27,41.10,46.11,50.34,57.58,"42,150","85,480","95,900","104,700","119,760",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-9131,Postmasters and Mail Superintendents,detailed,60,0.0,0.329,3.46,33.90,"70,500",1.2,29.71,31.94,34.76,37.78,40.78,"61,800","66,430","72,290","78,590","84,810",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-9141,"Property, Real Estate, and Community Association Managers",detailed,80,15.5,0.441,0.32,31.02,"64,520",11.5,19.59,20.92,23.14,29.89,47.21,"40,750","43,520","48,130","62,170","98,190",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-9151,Social and Community Service Managers,detailed,300,10.1,1.554,1.50,33.45,"69,580",2.3,20.57,24.83,33.92,39.80,47.77,"42,790","51,640","70,550","82,780","99,370",,
MN,2700001,Northwest Minnesota nonmetropolitan area,11-9199,"Managers, All Other",detailed,270,11.6,1.402,0.44,47.63,"99,070",2.6,28.91,37.17,46.76,55.32,62.22,"60,130","77,320","97,270","115,060","129,410",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-0000,Business and Financial Operations Occupations,major,"6,570",12.2,34.333,0.64,28.34,"58,960",1.2,17.01,21.27,27.18,34.68,41.15,"35,380","44,250","56,530","72,130","85,600",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-1020,Buyers and Purchasing Agents,detailed,640,25.5,3.355,1.19,29.21,"60,760",1.8,20.00,23.03,28.62,35.25,39.67,"41,600","47,900","59,530","73,320","82,520",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,60,16.1,0.313,0.16,32.70,"68,020",7.0,20.04,23.30,33.35,38.14,47.54,"41,680","48,470","69,380","79,320","98,890",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-1041,Compliance Officers,detailed,180,17.8,0.964,0.46,37.11,"77,180",2.5,27.91,32.29,37.56,41.15,46.56,"58,060","67,160","78,120","85,600","96,830",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-1051,Cost Estimators,detailed,330,25.0,1.748,1.20,24.03,"49,990",6.2,12.16,19.47,22.51,29.14,36.99,"25,280","40,490","46,820","60,620","76,940",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-1071,Human Resources Specialists,detailed,540,11.3,2.844,0.69,26.05,"54,190",1.7,17.71,20.86,25.65,30.20,35.74,"36,850","43,390","53,350","62,810","74,350",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-1081,Logisticians,detailed,**,**,**,**,34.21,"71,150",2.8,24.75,29.53,34.71,38.69,44.18,"51,470","61,420","72,190","80,470","91,900",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-1111,Management Analysts,detailed,260,13.0,1.334,0.28,31.40,"65,320",5.5,14.22,23.21,29.43,37.35,46.12,"29,590","48,270","61,200","77,690","95,920",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-1121,"Meeting, Convention, and Event Planners",detailed,150,22.9,0.789,1.04,19.87,"41,330",7.3,10.27,12.89,19.04,24.91,30.45,"21,370","26,810","39,600","51,820","63,330",,
MN,2700001,Northwest Minnesota nonmetropolitan area,13-1131,Fundraisers,detailed,70,31.6,0.371,0.71,21.14,"43,980",9.0,11.19,14.22,17.87,27.23,31.93,"23,270","29,570","37,160","56,630","66,410",,
